Tweet,HatespeechOrNot (Expert 1),HatespeechOrNot (Expert 2),Hatespeech Rating (Expert 2)
#Rosenmontag ist abgesagt. #Rapefugees also wieder wie gewohnt ins Schwimmbad gehen!,YES,NO,5
bitte nicht die #Türkei zum #EU-Mitglied machen! #Menschenrechte #Pressefreiheit #Islamisierung,NO,NO,1
Wieso bekommen #rapefugees mehr als unsere Hartz 4 Enpfänger?  #esreicht,NO,NO,3
Den verfluchten #Rapefugees den Krieg erklären! #wasfehlt,NO,YES,4
"War das Wochenende im Ruhrpott unterwegs. Überall schwangere, muslimische Frauen mit einem Rattenschwanz an Kindern #Islamisierung",YES,YES,6
"#Asylanteninvasion Wenn es auf unseren Straßen zu Gewaltausbrüchen kommt - Die Verantwortlichen hierfür, sitzen in der Regierung / Merkel!",NO,NO,1
745 Millionen Menschen leben in #Europa. Ca. 4 Millionen #Flüchtlinge bereiten da Kopfzerbrechen? #Rassisten sprechen von #Islamisierung?!,NO,NO,1
Tja die #SPD will unsere Steuergelder für Flüchtlinge verpassen. #refugees #refugeesNOTwelcome #refugeesgohome #abmerkeln,NO,NO,3
Aber für die Kölner Polizei haben gestiegene Anzeigen nur einen Grund: Frauen seien anzeigefreudiger als noch 2015. #rapefugees,NO,NO,4
"Offenes, freies WLAN im #Sophienhof #Kiel. Mit ein Grund für die Vorfälle von gestern Nachmittag! Zurück nach Kabul mit den #rapefugees!",YES,NO,2
"#UnterdenLinden #Petry fordert bessere Regelung Gesetze für #Asylanten und #Migranten. Richtig, warum wird es nicht getan?",NO,NO,1
Regeln und Gesetze der Einheimischen sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,YES,NO,2
"#Blutrache, #Zwangsbekehrung, #Scharia, #Kinderbräute, #Vielehe, #Genitalverstümmelung - kann nicht erkennen, was davon zu uns gehören soll.",YES,NO,6
"Worin liegt der Sinn für die Bierindustrie, die #Islamisierung zu beschleunigen indem sie #Deutsche Biertrinker mit #Glyphosat dezimieren?",NO,NO,1
"Claudia #Roth: Wer Sex-Attacken von Asylanten anprangert, ist ein „geistiger Bruder“ der Täter! Fuck you from Switzerland! #asylanten #Grüne",NO,YES,3
Im Februar 2016 kamen nach neusten Angaben in der #ARD Tagesschau trotz Grenzkontrollen auf Balkanroute 39000 #Asylanten nach #Deutschland,NO,NO,1
Die Unterbringung im Gefängnis nur weil man Verbrechen begangen hat ist ein Verstoß gegen die Menschenwürde.#Hungerstreik #Rapefugees,NO,YES,4
#Merkel Wie ist diese Schlampe eigentlich auf die Idee gekommen das Land so tiefgreifend zu verändern? #Merkelmussweg #refugeesnotwelcome,NO,NO,4
Der #Weltfrauentag ist eine Farce angesichts der durch die #Merkeldiktatur vorangetriebenen #Islamisierung #Europas!,NO,NO,1
"Gratis Häuser,Wohnungen,Handys u. Öffitickets #Mindestsicherung, Straffreiheit, Vorreihung in Ambulanzen, Schlaraffenland Ö #ZIB2 #Asylanten",NO,NO,1
#BeateUhse Konzern vermarktet #Scharia konforme Sexprodukte - bitte boykottiert diese Firma.,NO,NO,1
